,id,text,Cleaned_tweet
168,0.5655083966242913-171,http://tinyurl.com/ns6uy3u  This will make u think #crazy #tech #mobile,this wil make u think
169,0.5655083966242913-172,Super-Speciality medical courses free from #reservations #India #free,super speciality medical courses fre from
170,0.5655083966242913-173,Wankhede..cheering for @ABdeVilliers17 ...great show man !! #INDvSA @Paytm,wankhede cheering for great show man 
171,0.5655083966242913-174,My childhood friend is here.... #Mowgli #JungleBook,my childhood friend is here 
172,0.5655083966242913-175,"My new blog post...
https://gauravdey.wordpress.com/2015/09/02/burn-them-all/ …   #diary #life #burnthemall",my new blog post 
173,0.5655083966242913-176,Burn them all !! https://gauravdey.wordpress.com/2015/09/02/burn-them-all/ …,burn them al 
174,0.5655083966242913-177,"Mr. Dawood u r welcome to have a chit-chat on @TimesNow with ARNAB GOSWAMI #mockery

http://www.timesnow.tv/videoshow/4479776.cms …",mr dawood u r welcome to have a chit chat on with arnab goswami
175,0.5655083966242913-178,Why children are still selling flags at signals ? #India #pity #IndependenceDay,why children are stil selling flags at signals 
176,0.5655083966242913-179,Things that seemed crazy are running the world. #bonvoyage #alphabet @google,things that seemed crazy are running the world 
177,0.5655083966242913-180,The foreign tours paid off well I guess.. $19.78 billion FDI  @narendramodi #india #progress,the foreign tours paid of wel i guess billion fdi
178,0.5655083966242913-181,"No matter how bad things are, you can always make things worse. #quote Pratibha Patil and #manmoham #DeadlySins",no matter how bad things are you can always make things worse pratibha patil and
179,0.5655083966242913-182,@thomas_violence @mpesce hilarious...,hilarious 
180,0.5655083966242913-183,"New book launching from the #gandhi house.. ""Cookery to Treasury"". Pratibha Patil. #RagsToRiches",new book launching from the house cookery to treasury pratibha patil 
181,0.5655083966242913-184,Pratibha Patil ... what made you trending you know ? It's the man whom ur landlady vetoed. @APJAbdulKalam #kalam Should be thankful 2 him.,pratibha patil what made you trending you know it the man whom ur landlady vetoed should be thankful him 
182,0.5655083966242913-185,People often speak things they regret. @JhaSanjay @APJAbdulKalam #Kalam,people often speak things they regret 
183,0.5655083966242913-186,He said..Till my last breath I'll be with students and motivate them. He did. Boat man to Space man. #Kalam @APJAbdulKalam,he said til my last breath i l be with students and motivate them he did boat man to space man 
184,0.5655083966242913-187,Another feat. #achievement,another feat 
185,0.5655083966242913-188,This isn't a drill. We're flying by Pluto at this very moment. http://on.mash.to/1O9yhVr  #PlutoFlyBy ,this isn t a drill we re flying by pluto at this very moment 
186,0.5655083966242913-189,@BJP4India and @digvijaya_28  proposing bailout options to ....... #Delhi CM @ArvindKejriwal  #धोखेबाज़_केजरी,and proposing bailout options to cm
187,0.5655083966242913-190,"This was abt first line, now he will say remove ""sindh"" also... and many more to come. #kalyansingh #NationalAnthem #politicians #stupid",this was abt first line now he wil say remove sindh also and many more to come 
188,0.5655083966242913-191,Don't underestimate the power of st**id governor. #kalyansingh #NationalAnthem,don t underestimate the power of st id governor 
189,0.5655083966242913-192,All I need today... is a half day #BlueMondays,al i need today is a half day
190,0.5655083966242913-193,"https://gauravdey.wordpress.com/2015/06/17/salao-heart/ …

New post @WordPress #thought #philosophy",new post
191,0.5655083966242913-194,"My new post...

Salao Heart. https://gauravdey.wordpress.com/2015/06/17/salao-heart …",my new post salao heart 
192,0.5655083966242913-195,Salao Heart. https://gauravdey.wordpress.com/2015/06/17/salao-heart …,salao heart 
193,0.5655083966242913-196,"http://ads.admatte.com  this is creating nuisance. @google #tech #bug #virus #GoogleAnalytics 
Any permanent fix out there ???",this is creating nuisance any permanent fix out there 
194,0.5655083966242913-197,"Check this one ...
https://web.whatsapp.com/  @WhatsApp cool !!!",check this one cool 
195,0.5655083966242913-198,"Just like bat bowl n stumps, @Newbigdog is mandatory to play any game for CSK #CSKvMI #IPL2015 @SonySIX",just like bat bowl n stumps is mandatory to play any game for csk
196,0.5655083966242913-199,How can you keep him out of the game ??? @Newbigdog #CSKvMI #IPL2015 @SonySIX,how can you keep him out of the game 
197,0.5655083966242913-200,What a deal  ! What a feel ! But what is this ??? @amazon @AmazonINDeals,what a deal what a feel but what is this 
198,0.5655083966242913-201,A new festival is added to Indian festival list.!!! .. #IPL2015 @IPL,a new festival is added to indian festival list 
199,0.5655083966242913-202,"Steve “the Woz” @stevewoz trolls @samsung : Sells “worthless” Galaxy Gear smartwatch on eBay.
Read more: http://www.itproportal.com/2014/07/02/steve-wozniak-treats-samsung-galaxy-gear-mouldy-apple-core/#ixzz3YaC0AT1j …",steve the woz trolls sells worthles galaxy gear smartwatch on ebay read more 
200,0.5655083966242913-203,I'm a mantis shrimp! What's your Earth Day #GoogleDoodle quiz animal? https://g.co/doodle/qja95k ,i m a mantis shrimp what your earth day quiz animal 
201,0.5655083966242913-204,Kuch to gadbad hai....??? #RRvsKXIP #IPL2015,kuch to gadbad hai 
202,0.5655083966242913-205,Fireworks were brilliant !! @ABdeVilliers17 #RCBvMI #IPL2015,fireworks were brilliant 
203,0.5655083966242913-206,Magician at his works. !! @ABdeVilliers17 #RCBvMI #IPL2015,magician at his works 
204,0.5655083966242913-207,Aur maroo Aur maroo !!! @ABdeVilliers17 #RCBvMI #IPL2015,aur maro aur maro 
205,0.5655083966242913-208,#Rahane ne diye #CSK ko rone ke bahane... hahaha !!! #IPL2015 #RRvsCSK,ne diye ko rone ke bahane hahaha 
206,0.5655083966242913-209,Grow up telco guys....please #SaveTheInternet,grow up telco guys please
207,0.5655083966242913-210,@Microsoft partners with cyanogen. #technology,partners with cyanogen 
208,0.5655083966242913-211,Ye kya khufiyaapanti hai.. To be continued !!!! @TataSky  #bakwass,ye kya khufiyaapanti hai to be continued 
209,0.5655083966242913-212,So inspiring. #RCBvsKKR #IPL2015,so inspiring 
210,0.5655083966242913-213,Innovative way to get responses..,innovative way to get responses 
211,0.5655083966242913-214,I put this tweet on a photo to make it look profound ,i put this tweet on a photo to make it look profound
212,0.5655083966242913-215,No helmet no petrol.....  Beat us !!!,no helmet no petrol beat us 
213,0.5655083966242913-216,@imkyles @childsafetytech Bad..very bad .. :(,bad very bad 
214,0.5655083966242913-217,@ndtv Business minded !!,busines minded 
215,0.5655083966242913-218,Choose to be average or beautiful ?,choose to be average or beautiful 
216,0.5655083966242913-219,Got up this morning and saw this new video http://bit.ly/1CuTocx  by @Dove_IND. Feeling so confident and its #MyChoice to #ChooseBeautiful,got up this morning and saw this new video by feeling so confident and its to
217,0.5655083966242913-220,Future in hands !!,future in hands 
218,0.5655083966242913-221,"Just saw 2 kids walk up to my LOCKED car, press a button on a device which unlocked the car, and broke in. So much for our keyless future.",just saw kids walk up to my locked car pres a button on a device which unlocked the car and broke in so much for our keyles future 
219,0.5655083966242913-222,@Uber Why hire rapists ???? #chicago,why hire rapists 
220,0.5655083966242913-223,O... guru !!! Happy IPL #IPL2015 @sherryontopp,o guru happy ipl
